"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"N","numeric",217,0,217,-1.68886971819807e-17,-0.234189415433191,-0.234189415433191,NA,1,NA,-0.473828721085358,9.40085569887565,9.874684419961,6.59523618847665,19.9676431641127,51.8531489284203,78.8442170711032,NA,NA
"Nhh","numeric",217,0,203,-4.52566971353627e-18,-0.242013693978053,-0.242013693978053,NA,1,NA,-0.423221860599403,9.64434517129702,10.0675670318964,6.38175021743527,19.3212960783561,49.0608137551962,74.5983904418107,NA,NA
"urban","character",217,0,3,NA,NA,146,"low",NA,0.440272675147062,NA,NA,NA,NA,NA,NA,NA,NA,NA
"iwi","numeric",217,0,214,9.09233426036859e-17,-0.182903376671203,-0.182903376671203,NA,1,NA,-1.59065372478203,1.65667703098793,3.24733075576997,0.207705648722111,0.628846664218042,-1.34189735230037,-2.04039384913652,NA,NA
"iwipov70","numeric",217,0,204,1.54374401127134e-16,0.517927724156067,0.517927724156067,NA,1,NA,-1.7755818724361,0.916646788899935,2.69222866133604,-0.735391483450981,-2.22646078288037,-1.15761539405493,-1.76018778608241,NA,NA
"iwipov50","numeric",217,0,205,-8.52572620796896e-18,0.264133813094928,0.264133813094928,NA,1,NA,-1.35689723990055,1.27158843116337,2.62848567106392,-0.219655926535348,-0.665027155146276,-1.62189565965254,-2.46613939749061,NA,NA
"iwipov35","numeric",217,0,190,6.12779076712706e-17,-0.238061246118994,-0.238061246118994,NA,1,NA,-1.09261712474801,1.73940451654715,2.83202164129516,0.320854859140826,0.971415602369119,-1.45051924390516,-2.20555658616112,NA,NA
"edyr20","numeric",217,0,194,8.1317161465763e-17,-0.116313678689413,-0.116313678689413,NA,1,NA,-1.61428640429726,2.38545520325358,3.99974160755084,0.247647271171383,0.749773351552798,-0.855424681217339,-1.30069804144359,NA,NA
"womedyr20","numeric",217,0,200,9.23070743625331e-17,-0.0748192463234188,-0.0748192463234188,NA,1,NA,-1.46392927520219,2.40847299213928,3.87240226734147,0.324827028628507,0.983441686143947,-0.879067382838982,-1.33664745507279,NA,NA
"menedyr20","numeric",217,0,188,-1.27117458584381e-16,-0.0790020901890963,-0.0790020901890963,NA,1,NA,-1.80540689260346,2.30115158961013,4.10655848221359,0.13403284596712,0.405795935741932,-0.883406008487789,-1.34324446122408,NA,NA
